x_mm,y_mm
97.460000,0.000000
97.448372,0.000000
97.413502,0.000000
97.355430,0.000000
97.274223,0.000000
97.169974,0.000000
97.042804,0.000000
96.892859,0.000000
96.720311,0.000000
96.525358,0.000000
96.308226,0.000000
96.069163,0.000000
95.808444,0.000000
95.526369,0.000000
95.223260,0.000000
94.899466,0.000000
94.555356,0.000000
94.191325,0.000000
93.807788,0.000000
93.405182,0.000000
92.983967,0.000000
92.544620,0.000000
92.087640,0.000000
91.613545,0.000000
91.122870,0.000000
90.616169,0.000000
90.094009,0.000000
89.556977,0.000000
89.005670,0.000000
88.440704,0.000000
87.862702,0.000000
87.272303,0.000000
86.670155,0.000000
86.056913,0.000000
85.433245,0.000000
84.799823,0.000000
84.157326,0.000000
83.506437,0.000000
82.847844,0.000000
82.182236,0.000000
81.510303,0.000000
80.832738,0.000000
80.150228,0.000000
79.463461,0.000000
78.773120,0.000000
78.079884,0.000000
77.384423,0.000000
76.687403,0.000000
75.989480,0.000000
75.291301,0.000000
74.593500,0.000000
73.896702,0.000000
73.201519,0.000000
72.508548,0.000000
71.818371,0.000000
71.131558,0.000000
70.448658,0.000000
69.770207,0.000000
69.096721,0.000000
68.428700,0.000000
67.766623,0.000000
67.110952,0.000000
66.462129,0.000000
65.820576,0.000000
65.186695,0.000000
64.560869,0.000000
63.943461,0.000000
63.334811,0.000000
62.735245,0.000000
62.145063,0.000000
61.564549,0.000000
60.993968,0.000000
60.433565,0.000000
59.883566,0.000000
59.344181,0.000000
58.815600,0.000000
58.297998,0.000000
57.791533,0.000000
57.296346,0.000000
56.812566,0.000000
56.340303,0.000000
55.879658,0.000000
55.430715,0.000000
54.993547,0.000000
54.568217,0.000000
54.154773,0.000000
53.753257,0.000000
53.363699,0.000000
52.986120,0.000000
52.620534,0.000000
52.266947,0.000000
51.925358,0.000000
51.595760,0.000000
51.278140,0.000000
50.972481,0.000000
50.678762,0.000000
50.396955,0.000000
50.127033,0.000000
49.868964,0.000000
49.622714,0.000000
49.388248,0.000000
49.165529,0.000000
48.954520,0.000000
48.755182,0.000000
48.567478,0.000000
48.391370,0.000000
48.226822,0.000000
48.073796,0.000000
47.932259,0.000000
47.802178,0.000000
47.683520,0.000000
47.576256,0.000000
47.480360,0.000000
47.395807,0.000000
47.322573,0.000000
47.260640,0.000000
47.209991,0.000000
47.170612,0.000000
47.142491,0.000000
47.125622,0.000000
47.120000,0.000000
47.125622,0.000000
47.142491,0.000000
47.170612,0.000000
47.209991,0.000000
47.260640,0.000000
47.322573,0.000000
47.395807,0.000000
47.480360,0.000000
47.576256,0.000000
47.683520,0.000000
47.802178,0.000000
47.932259,0.000000
48.073796,0.000000
48.226822,0.000000
48.391370,0.000000
48.567478,0.000000
48.755182,0.000000
48.954520,0.000000
49.165529,0.000000
49.388248,0.000000
49.622714,0.000000
49.868964,0.000000
50.127033,0.000000
50.396955,0.000000
50.678762,0.000000
50.972481,0.000000
51.278140,0.000000
51.595760,0.000000
51.925358,0.000000
52.266947,0.000000
52.620534,0.000000
52.986120,0.000000
53.363699,0.000000
53.753257,0.000000
54.154773,0.000000
54.568217,0.000000
54.993547,0.000000
55.430715,0.000000
55.879658,0.000000
56.340303,0.000000
56.812566,0.000000
57.296346,0.000000
57.791533,0.000000
58.297998,0.000000
58.815600,0.000000
59.344181,0.000000
59.883566,0.000000
60.433565,0.000000
60.993968,0.000000
61.564549,0.000000
62.145063,0.000000
62.735245,0.000000
63.334811,0.000000
63.943461,0.000000
64.560869,0.000000
65.186695,0.000000
65.820576,0.000000
66.462129,0.000000
67.110952,0.000000
67.766623,0.000000
68.428700,0.000000
69.096721,0.000000
69.770207,0.000000
70.448658,0.000000
71.131558,0.000000
71.818371,0.000000
72.508548,0.000000
73.201519,0.000000
73.896702,0.000000
74.593500,0.000000
75.291301,0.000000
75.989480,0.000000
76.687403,0.000000
77.384423,0.000000
78.079884,0.000000
78.773120,0.000000
79.463461,0.000000
80.150228,0.000000
80.832738,0.000000
81.510303,0.000000
82.182236,0.000000
82.847844,0.000000
83.506437,0.000000
84.157326,0.000000
84.799823,0.000000
85.433245,0.000000
86.056913,0.000000
86.670155,0.000000
87.272303,0.000000
87.862702,0.000000
88.440704,0.000000
89.005670,0.000000
89.556977,0.000000
90.094009,0.000000
90.616169,0.000000
91.122870,0.000000
91.613545,0.000000
92.087640,0.000000
92.544620,0.000000
92.983967,0.000000
93.405182,0.000000
93.807788,0.000000
94.191325,0.000000
94.555356,0.000000
94.899466,0.000000
95.223260,0.000000
95.526369,0.000000
95.808444,0.000000
96.069163,0.000000
96.308226,0.000000
96.525358,0.000000
96.720311,0.000000
96.892859,0.000000
97.042804,0.000000
97.169974,0.000000
97.274223,0.000000
97.355430,0.000000
97.413502,0.000000
97.448372,0.000000
